vendor,domain,dda_name,artifact_id,artifact_name,artifact_type,questions_supported,required_or_optional,last_received_date,validity_months,current_status,why_needed,priority
Contoso AI Services,InfoSec,InfoSec DDA,ART-SEC-001,SOC 2 Type II Report,Assurance Report,18,Required,2026-01-15,12,Available,Supports security controls encryption access logging and control effectiveness,High
Contoso AI Services,InfoSec,InfoSec DDA,ART-SEC-002,ISO 27001 Certificate,Certification,8,Required,2026-02-01,12,Available,Confirms security management certification scope,Medium
Contoso AI Services,InfoSec,InfoSec DDA,ART-SEC-003,Data Encryption and Key Management Standard,Policy,7,Required,2025-07-15,12,Available,Supports encryption and key management questions,Medium
Contoso AI Services,InfoSec,InfoSec DDA,ART-SEC-004,Access Control and MFA Policy,Policy,6,Required,2025-09-12,12,Available,Supports identity access MFA and privileged access questions,Medium
Contoso AI Services,InfoSec,InfoSec DDA,ART-SEC-005,Vulnerability Management Summary,Control Evidence,3,Required,2025-05-17,12,Available,Supports patching scanning and remediation cadence questions,High
Contoso AI Services,Model Risk,Model Risk DDA,ART-MRM-001,Model Governance Policy,Policy,12,Required,2025-12-01,12,Available,Defines governance ownership validation and oversight for AI models,High
Contoso AI Services,Model Risk,Model Risk DDA,ART-MRM-002,Model Validation Report,Validation Report,15,Required,2025-01-28,12,Available,Supports validation testing limitations bias and performance monitoring questions,High
Contoso AI Services,Model Risk,Model Risk DDA,ART-MRM-003,AI ML Inventory Export,Inventory,8,Required,2025-09-20,6,Available,Identifies AI-enabled capabilities model inventory ownership and classification,High
Contoso AI Services,Regulatory,Regulatory DDA,ART-REG-001,Regulatory Compliance Matrix,Compliance Evidence,10,Required,2025-12-15,12,Available,Maps obligations to controls and jurisdictional requirements,High
Contoso AI Services,Regulatory,Regulatory DDA,ART-REG-002,Privacy and Data Processing Addendum,Contract Addendum,9,Required,2026-01-04,12,Available,Supports data processing privacy and cross-border control questions,High
Contoso AI Services,Regulatory,Regulatory DDA,ART-REG-003,Audit Findings Remediation Tracker,Remediation Evidence,5,Required,2025-08-05,12,Available,Supports regulatory issue remediation and audit response questions,Medium
Contoso AI Services,Reputation,Reputation DDA,ART-REP-001,Adverse Media Review Summary,Screening Report,8,Required,2025-07-01,6,Available,Supports reputational event negative news and controversy screening,Medium
Contoso AI Services,Reputation,Reputation DDA,ART-REP-002,Ethics and Code of Conduct Policy,Policy,7,Required,2025-11-01,12,Available,Supports ethics conduct and complaint handling questions,Medium
Contoso AI Services,Finance,Finance DDA,ART-FIN-001,Audited Financial Statements,Financial Report,12,Required,2025-03-15,12,Available,Supports solvency revenue liquidity and going concern review,High
Contoso AI Services,Finance,Finance DDA,ART-FIN-002,Financial Health Monitoring Summary,Monitoring Report,6,Required,2025-04-02,6,Available,Supports recent financial trend and health questions,High
Contoso AI Services,Business Resiliency,Business Resiliency DDA,ART-BR-001,Business Continuity Plan,Policy,12,Required,2025-08-01,12,Available,Supports continuity governance recovery procedures and crisis management questions,High
Contoso AI Services,Business Resiliency,Business Resiliency DDA,ART-BR-002,BCP DR Test Results,Test Evidence,10,Required,2024-10-15,12,Available,Supports recovery test RTO RPO exercise and remediation questions,High
Contoso AI Services,Operational,Operational DDA,ART-OPS-001,Service Level Agreement Summary,Contract Evidence,8,Required,2026-02-28,12,Available,Supports service performance uptime and support obligations,Medium
Contoso AI Services,Operational,Operational DDA,ART-OPS-002,Incident Management Procedure,Procedure,7,Required,2025-12-10,12,Available,Supports incident escalation notification and corrective action questions,Medium
Contoso AI Services,Operational,Operational DDA,ART-OPS-003,Subprocessor and Fourth Party Register,Register,6,Required,2025-09-01,6,Available,Supports fourth-party and subcontractor dependency questions,High
Contoso AI Services,Operational,Operational DDA,ART-OPS-004,Change Management Procedure,Procedure,6,Required,2026-03-01,12,Available,Supports release change testing and approval questions,Medium
Northwind Data Cloud,InfoSec,InfoSec DDA,ART-NW-SEC-001,SOC 2 Type II Report,Assurance Report,18,Required,2025-10-17,12,Available,Supports security controls encryption access logging and control effectiveness,High
Northwind Data Cloud,InfoSec,InfoSec DDA,ART-NW-SEC-002,ISO 27001 Certificate,Certification,8,Required,2025-11-03,12,Available,Confirms security management certification scope,Medium
Northwind Data Cloud,InfoSec,InfoSec DDA,ART-NW-SEC-003,Data Encryption and Key Management Standard,Policy,7,Required,2025-04-16,12,Available,Supports encryption and key management questions,Medium
Northwind Data Cloud,InfoSec,InfoSec DDA,ART-NW-SEC-004,Access Control and MFA Policy,Policy,6,Required,2025-06-14,12,Available,Supports identity access MFA and privileged access questions,Medium
Northwind Data Cloud,InfoSec,InfoSec DDA,ART-NW-SEC-005,Vulnerability Management Summary,Control Evidence,3,Required,2025-02-16,12,Available,Supports patching scanning and remediation cadence questions,High
Northwind Data Cloud,Model Risk,Model Risk DDA,ART-NW-MRM-001,Model Governance Policy,Policy,12,Required,2025-09-02,12,Available,Defines governance ownership validation and oversight for AI models,High
Northwind Data Cloud,Model Risk,Model Risk DDA,ART-NW-MRM-002,Model Validation Report,Validation Report,15,Required,2024-10-30,12,Available,Supports validation testing limitations bias and performance monitoring questions,High
Northwind Data Cloud,Model Risk,Model Risk DDA,ART-NW-MRM-003,AI ML Inventory Export,Inventory,8,Required,2025-06-22,6,Available,Identifies AI-enabled capabilities model inventory ownership and classification,High
Northwind Data Cloud,Regulatory,Regulatory DDA,ART-NW-REG-001,Regulatory Compliance Matrix,Compliance Evidence,10,Required,2025-09-16,12,Available,Maps obligations to controls and jurisdictional requirements,High
Northwind Data Cloud,Regulatory,Regulatory DDA,ART-NW-REG-002,Privacy and Data Processing Addendum,Contract Addendum,9,Required,2025-10-06,12,Available,Supports data processing privacy and cross-border control questions,High
Northwind Data Cloud,Regulatory,Regulatory DDA,ART-NW-REG-003,Audit Findings Remediation Tracker,Remediation Evidence,5,Required,2025-05-07,12,Available,Supports regulatory issue remediation and audit response questions,Medium
Northwind Data Cloud,Reputation,Reputation DDA,ART-NW-REP-001,Adverse Media Review Summary,Screening Report,8,Required,2025-04-02,6,Available,Supports reputational event negative news and controversy screening,Medium
Northwind Data Cloud,Reputation,Reputation DDA,ART-NW-REP-002,Ethics and Code of Conduct Policy,Policy,7,Required,2025-08-03,12,Available,Supports ethics conduct and complaint handling questions,Medium
Northwind Data Cloud,Finance,Finance DDA,ART-NW-FIN-001,Audited Financial Statements,Financial Report,12,Required,2024-12-15,12,Available,Supports solvency revenue liquidity and going concern review,High
Northwind Data Cloud,Finance,Finance DDA,ART-NW-FIN-002,Financial Health Monitoring Summary,Monitoring Report,6,Required,2025-01-02,6,Available,Supports recent financial trend and health questions,High
Northwind Data Cloud,Business Resiliency,Business Resiliency DDA,ART-NW-BR-001,Business Continuity Plan,Policy,12,Required,2025-05-03,12,Available,Supports continuity governance recovery procedures and crisis management questions,High
Northwind Data Cloud,Business Resiliency,Business Resiliency DDA,ART-NW-BR-002,BCP DR Test Results,Test Evidence,10,Required,2024-07-17,12,Available,Supports recovery test RTO RPO exercise and remediation questions,High
Northwind Data Cloud,Operational,Operational DDA,ART-NW-OPS-001,Service Level Agreement Summary,Contract Evidence,8,Required,2025-11-30,12,Available,Supports service performance uptime and support obligations,Medium
Northwind Data Cloud,Operational,Operational DDA,ART-NW-OPS-002,Incident Management Procedure,Procedure,7,Required,2025-09-11,12,Available,Supports incident escalation notification and corrective action questions,Medium
Northwind Data Cloud,Operational,Operational DDA,ART-NW-OPS-003,Subprocessor and Fourth Party Register,Register,6,Required,2025-06-03,6,Available,Supports fourth-party and subcontractor dependency questions,High
Northwind Data Cloud,Operational,Operational DDA,ART-NW-OPS-004,Change Management Procedure,Procedure,6,Required,2025-12-01,12,Available,Supports release change testing and approval questions,Medium
Fabrikam Workflow AI,InfoSec,InfoSec DDA,ART-FB-SEC-001,SOC 2 Type II Report,Assurance Report,18,Required,2025-08-18,12,Available,Supports security controls encryption access logging and control effectiveness,High
Fabrikam Workflow AI,InfoSec,InfoSec DDA,ART-FB-SEC-002,ISO 27001 Certificate,Certification,8,Required,2025-09-04,12,Available,Confirms security management certification scope,Medium
Fabrikam Workflow AI,InfoSec,InfoSec DDA,ART-FB-SEC-003,Data Encryption and Key Management Standard,Policy,7,Required,2025-02-15,12,Available,Supports encryption and key management questions,Medium
Fabrikam Workflow AI,InfoSec,InfoSec DDA,ART-FB-SEC-004,Access Control and MFA Policy,Policy,6,Required,2025-04-15,12,Available,Supports identity access MFA and privileged access questions,Medium
Fabrikam Workflow AI,InfoSec,InfoSec DDA,ART-FB-SEC-005,Vulnerability Management Summary,Control Evidence,3,Required,2024-12-18,12,Available,Supports patching scanning and remediation cadence questions,High
Fabrikam Workflow AI,Model Risk,Model Risk DDA,ART-FB-MRM-001,Model Governance Policy,Policy,12,Required,2025-07-04,12,Available,Defines governance ownership validation and oversight for AI models,High
Fabrikam Workflow AI,Model Risk,Model Risk DDA,ART-FB-MRM-002,Model Validation Report,Validation Report,15,Required,2024-08-31,12,Available,Supports validation testing limitations bias and performance monitoring questions,High
Fabrikam Workflow AI,Model Risk,Model Risk DDA,ART-FB-MRM-003,AI ML Inventory Export,Inventory,8,Required,2025-04-23,6,Available,Identifies AI-enabled capabilities model inventory ownership and classification,High
Fabrikam Workflow AI,Regulatory,Regulatory DDA,ART-FB-REG-001,Regulatory Compliance Matrix,Compliance Evidence,10,Required,2025-07-18,12,Available,Maps obligations to controls and jurisdictional requirements,High
Fabrikam Workflow AI,Regulatory,Regulatory DDA,ART-FB-REG-002,Privacy and Data Processing Addendum,Contract Addendum,9,Required,2025-08-07,12,Available,Supports data processing privacy and cross-border control questions,High
Fabrikam Workflow AI,Regulatory,Regulatory DDA,ART-FB-REG-003,Audit Findings Remediation Tracker,Remediation Evidence,5,Required,2025-03-08,12,Available,Supports regulatory issue remediation and audit response questions,Medium
